"filename", "language", "Vue", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\group\SearchResultCard.vue", "Vue", 76, 0, 0, 0, 4, 10, 90
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\my-profile\Color.vue", "Vue", 149, 0, 0, 0, 18, 15, 182
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\my-profile\Title.vue", "Vue", 50, 0, 0, 0, 0, 7, 57
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\InputWeightDialog.vue", "Vue", 191, 0, 0, 0, 2, 9, 202
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\Options.vue", "Vue", 100, 0, 0, 0, 7, 11, 118
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\PostContent.vue", "Vue", 312, 0, 0, 0, 23, 17, 352
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\ReplyForm.vue", "Vue", 114, 0, 0, 0, 6, 11, 131
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\video\VideoRoomCard.vue", "Vue", 64, 0, 0, 0, 0, 6, 70
"c:\Users\ohs90430\Documents\GitHub\misoten\src\firebase\firebase.js", "JavaScript", 0, 17, 0, 0, 3, 1, 21
"c:\Users\ohs90430\Documents\GitHub\misoten\src\libs\bodyfixer.js", "JavaScript", 0, 15, 0, 0, 3, 2, 20
"c:\Users\ohs90430\Documents\GitHub\misoten\src\libs\scroll.js", "JavaScript", 0, 35, 0, 0, 0, 0, 35
"c:\Users\ohs90430\Documents\GitHub\misoten\src\libs\sleep.js", "JavaScript", 0, 2, 0, 0, 0, 1, 3
"c:\Users\ohs90430\Documents\GitHub\misoten\src\main.js", "JavaScript", 0, 70, 0, 0, 1, 7, 78
"c:\Users\ohs90430\Documents\GitHub\misoten\src\registerServiceWorker.js", "JavaScript", 0, 29, 0, 0, 1, 3, 33
"c:\Users\ohs90430\Documents\GitHub\misoten\src\router\index.js", "JavaScript", 0, 182, 0, 0, 45, 17, 244
"c:\Users\ohs90430\Documents\GitHub\misoten\src\scss\_variables.scss", "SCSS", 0, 0, 146, 0, 25, 13, 184
"c:\Users\ohs90430\Documents\GitHub\misoten\src\store\index.js", "JavaScript", 0, 116, 0, 0, 3, 3, 122
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Achievement.vue", "Vue", 756, 0, 0, 0, 75, 25, 856
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Auth.vue", "Vue", 170, 0, 0, 0, 16, 16, 202
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Coach.vue", "Vue", 181, 0, 0, 0, 15, 17, 213
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\CompleteSignup.vue", "Vue", 44, 0, 0, 0, 5, 7, 56
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\FirstAccess.vue", "Vue", 44, 0, 0, 0, 5, 6, 55
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Group.vue", "Vue", 95, 0, 0, 0, 50, 7, 152
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\NotFound.vue", "Vue", 59, 0, 0, 0, 0, 8, 67
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Post.vue", "Vue", 629, 0, 0, 0, 119, 44, 792
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\User.vue", "Vue", 105, 0, 0, 0, 4, 8, 117
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Video copy.vue", "Vue", 143, 0, 0, 0, 2, 13, 158
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Video.vue", "Vue", 93, 0, 0, 0, 2, 10, 105
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\auth\Login.vue", "Vue", 265, 0, 0, 0, 15, 21, 301
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\auth\LoginOld.vue", "Vue", 101, 0, 0, 0, 11, 8, 120
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\auth\Signup.vue", "Vue", 296, 0, 0, 0, 33, 9, 338
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\CoachAppears.vue", "Vue", 43, 0, 0, 0, 0, 6, 49
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\CoachHome.vue", "Vue", 113, 0, 0, 0, 9, 10, 132
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\CompleteWorkout.vue", "Vue", 52, 0, 0, 0, 0, 6, 58
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\MenuList.vue", "Vue", 327, 0, 0, 0, 5, 12, 344
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\PlanDetail.vue", "Vue", 224, 0, 0, 0, 63, 13, 300
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\SelectPlan.vue", "Vue", 127, 0, 0, 0, 1, 11, 139
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\SetTarget.vue", "Vue", 571, 0, 0, 0, 29, 22, 622
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\coach\Workout.vue", "Vue", 539, 0, 0, 0, 48, 26, 613
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\group\GroupRoom.vue", "Vue", 502, 0, 0, 0, 21, 18, 541
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Config.vue", "Vue", 26, 0, 0, 0, 0, 6, 32
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Language.vue", "Vue", 26, 0, 0, 0, 0, 6, 32
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Profile.vue", "Vue", 420, 0, 0, 0, 33, 24, 477
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\SetIcon.vue", "Vue", 130, 0, 0, 0, 8, 7, 145
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\SetTarget copy.vue", "Vue", 392, 0, 0, 0, 25, 23, 440
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\video\VideoRoom.vue", "Vue", 549, 0, 0, 0, 54, 29, 632
"Total", "-", 14039, 1804, 146, 3, 1235, 1027, 18254
